ID,Question,Response,Rating
1,What did you like most about our service?,"Great customer service and fast delivery. The staff was very helpful and knowledgeable.",5
2,What did you like most about our service?,"Easy to use website and good prices. Found exactly what I needed quickly.",4
3,What could be improved?,"Shipping took too long, packaging was poor. Items arrived damaged.",2
4,What did you like most about our service?,"Product quality is excellent and the return policy is flexible. Very satisfied with purchase.",5
5,What could be improved?,"Website navigation is confusing, too many clicks to find products. Search function doesn't work well.",3
6,What did you like most about our service?,"Fast response from customer support team. They resolved my issue within 24 hours.",4
7,What could be improved?,"Prices are too high compared to competitors. Need better discounts and promotions.",2
8,What did you like most about our service?,"Wide selection of products and detailed product descriptions. Good photos and reviews.",4
9,What could be improved?,"Checkout process is too complicated. Too many steps and forms to fill out.",3
10,What did you like most about our service?,"Free shipping on orders over $50 is great. Saved me money on multiple purchases.",5
11,What could be improved?,"Email notifications are too frequent and annoying. Need option to reduce frequency.",2
12,What did you like most about our service?,"Mobile app works well and is user-friendly. Easy to shop on the go.",4
13,What could be improved?,"Customer service hours are limited. Need 24/7 support for urgent issues.",3
14,What did you like most about our service?,"Product arrived exactly as described. Good quality and fair pricing.",4
15,What could be improved?,"Return process is slow and complicated. Takes too long to get refunds.",2
16,What did you like most about our service?,"Loyalty program offers good rewards. Earn points on every purchase.",4
17,What could be improved?,"Product availability is inconsistent. Items go out of stock frequently.",3
18,What did you like most about our service?,"Delivery tracking is accurate and updates are timely. Always know when package arrives.",5
19,What could be improved?,"Gift wrapping options are limited. Need more choices for special occasions.",2
20,What did you like most about our service?,"Customer reviews are helpful for making decisions. Good mix of detailed and brief reviews.",4
21,What could be improved?,"International shipping is expensive. Need better rates for overseas customers.",3
22,What did you like most about our service?,"Product recommendations are spot-on. Algorithm suggests items I actually want.",4
23,What could be improved?,"Website loads slowly on mobile devices. Performance needs improvement.",2
24,What did you like most about our service?,"Easy returns policy and no questions asked. Makes shopping less risky.",5
25,What could be improved?,"Payment options are limited. Need more credit card and digital payment methods.",3
26,What did you like most about our service?,"Customer service representatives are knowledgeable and polite. Great training program.",4
27,What could be improved?,"Product categories are confusing. Hard to find items in the right section.",2
28,What did you like most about our service?,"Order confirmation and shipping emails are clear and informative.",4
29,What could be improved?,"Live chat support is often unavailable. Need more agents during peak hours.",3
30,What did you like most about our service?,"Product quality exceeds expectations. Items last longer than similar products from other stores.",5
